date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:20:59	4246/4246	---M-Z	200	added ('OK')	text/html	etag:W/%22661c00b39930a6aba15f53f2446c237e%22	https://mysat.collegeboard.org/dashboard	C:/Users/Ava/Desktop/SaveHere/SAT%20website%20copy%20attempt/SAT4/mysat.collegeboard.org/dashboard.html	(from )
23:20:59	67/67	---M--	200	added ('OK')	text/plain	etag:%22fa1ded1ed7c11438a9b0385b1e112850%22	https://mysat.collegeboard.org/robots.txt		(from )
23:21:00	34494/34494	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%229f8a2c6a1fbc110188835f02fbb515e6%22	https://mysat.collegeboard.org/favicon.ico	C:/Users/Ava/Desktop/SaveHere/SAT%20website%20copy%20attempt/SAT4/mysat.collegeboard.org/favicon.ico	(from https://mysat.collegeboard.org/dashboard)
23:21:00	83801/83801	---M--	200	added ('OK')	image/jpeg	etag:%2278f66aa9c6588848f49fd1259482d48f%22	https://mysat.collegeboard.org/nSAT-Homepage-Image.jpg	C:/Users/Ava/Desktop/SaveHere/SAT%20website%20copy%20attempt/SAT4/mysat.collegeboard.org/nSAT-Homepage-Image.jpg	(from https://mysat.collegeboard.org/dashboard)
23:21:00	18065/18065	---M--	200	added ('OK')	image/png	etag:%229c7e1543e69f92c36801277498281f3e%22	https://mysat.collegeboard.org/logo192.png	C:/Users/Ava/Desktop/SaveHere/SAT%20website%20copy%20attempt/SAT4/mysat.collegeboard.org/logo192.png	(from https://mysat.collegeboard.org/dashboard)
23:21:00	482/482	---M--	200	added ('OK')	application/json	etag:%22928ad2b3d7b27170fd4a048cd02bd4e2%22	https://mysat.collegeboard.org/manifest.json	C:/Users/Ava/Desktop/SaveHere/SAT%20website%20copy%20attempt/SAT4/mysat.collegeboard.org/manifest.json	(from https://mysat.collegeboard.org/dashboard)
23:21:02	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2004%20Sep%202024%2022:21:01%20GMT	http://atlas.collegeboard.org/aws-bundles/l.min.js	C:/Users/Ava/Desktop/SaveHere/SAT%20website%20copy%20attempt/SAT4/atlas.collegeboard.org/aws-bundles/l.min.5.delayed	(from https://mysat.collegeboard.org/dashboard)
23:21:04	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2004%20Sep%202024%2022:21:02%20GMT	http://atlas.collegeboard.org/widgets/release/2021-04-27/main.js	C:/Users/Ava/Desktop/SaveHere/SAT%20website%20copy%20attempt/SAT4/atlas.collegeboard.org/widgets/release/2021-04-27/main.js	(from https://mysat.collegeboard.org/dashboard)
23:21:04	244735/244735	---MCZ	200	added ('OK')	text/javascript	etag:W/%2247786fe0f0ece85fcd7f985064b7a0f7%22	https://atlas.collegeboard.org/aws-bundles/l.min.js	C:/Users/Ava/Desktop/SaveHere/SAT%20website%20copy%20attempt/SAT4/atlas.collegeboard.org/aws-bundles/l.min.js	(from https://mysat.collegeboard.org/dashboard)
23:21:10	27160/27160	---M-Z	200	added ('OK')	text/javascript	etag:W/%2239d99a7f38acd51454750ecbd1966ec0%22	https://mysat.collegeboard.org/assets/index-fd6bc41e.js	C:/Users/Ava/Desktop/SaveHere/SAT%20website%20copy%20attempt/SAT4/mysat.collegeboard.org/assets/index-fd6bc41e.js	(from https://mysat.collegeboard.org/dashboard)
